股票代码,股票名,年报日期,净资产收益率(%)
sz300564,筑博设计,20141231,20.6637
sz300774,倍杰特,20141231,26.8179
sz300789,唐源电气,20141231,73.2071
sz300798,锦鸡股份,20141231,23.6543
sz300806,斯迪克,20141231,8.7718
sz300811,铂科新材,20141231,39.9823
sz300837,浙矿股份,20141231,21.3942
sz300843,胜蓝股份,20141231,33.2751
sz300847,中船汉光,20141231,10.7417
sz300849,锦盛新材,20141231,17.0856
sz300853,申昊科技,20141231,15.8259
sz300854,中兰环保,20141231,22.3994
sz300855,图南股份,20141231,2.9953
sz300856,科思股份,20141231,7.0178
sz300865,大宏立,20141231,22.2434
sz300867,圣元环保,20141231,9.369
sz300868,杰美特,20141231,26.2327
sz300872,天阳科技,20141231,136.8398
sz300877,金春股份,20141231,5.3609
sz300878,维康药业,20141231,37.0376
sz300881,盛德鑫泰,20141231,12.4104
sz300886,华业香料,20141231,26.2673
sz300888,稳健医疗,20141231,13.7168
sz300890,翔丰华,20141231,18.6777
sz300891,惠云钛业,20141231,1.3861
sz300895,铜牛信息,20141231,28.6298
sz300896,爱美客,20141231,32.2734
sz300897,山科智能,20141231,35.4589
sz300899,上海凯鑫,20141231,32.0303
sz300900,广联航空,20141231,8.6081
sz300908,仲景食品,20141231,35.2268
sz300912,凯龙高科,20141231,19.4027
sz300915,海融科技,20141231,17.3013
sz300920,润阳科技,20141231,-1.6794
sz300925,法本信息,20141231,34.2293
sz300929,华骐环保,20141231,3.6659
sz300935,盈建科,20141231,71.3632
sz300938,信测标准,20141231,16.9242
sz300945,曼卡龙,20141231,7.242
sz300948,冠中生态,20141231,6.5166
sz300949,奥雅股份,20141231,33.2035
sz300950,德固特,20141231,6.7352
sz300953,震裕科技,20141231,15.2465
sz300958,建工修复,20141231,19.0046
sz300959,线上线下,20141231,42.7111
sz300962,中金辐照,20141231,4.7067
sz300963,中洲特材,20141231,17.5981
sz300964,本川智能,20141231,20.9352
sz300968,格林精密,20141231,8.0871
sz300970,华绿生物,20141231,34.7473
sz300975,商络电子,20141231,57.2797
sz300976,达瑞电子,20141231,35.6677
sz300981,中红医疗,20141231,18.0946
sz300986,志特新材,20141231,12.8745
sz300987,川网传媒,20141231,15.8707
sz300988,津荣天宇,20141231,12.7553
sz300991,创益通,20141231,28.1673
sz300996,普联软件,20141231,25.5897
sz301011,华立科技,20141231,-3.0888
sz301017,漱玉平民,20141231,33.9127
